wikidata	abbr	name	short	dedicated_to	website	start_date	swiss_business_uid	buildings_count	building_flats	building_start_date_first	building_start_date_last	building_last_renovation_first	building_last_renovation_last	building_last_renovation_count	buildings_subsidized_count	buildings_rent_regulated_count	buildings_dormitory_count	buildings_sheltered_housing_count	buildings_locations	buildings_postcode
Q132176017	I6	Coopérative I6					CHE-235.810.058	1	8	1887-01-01T00:00:00.000Z	1887-01-01T00:00:00.000Z	2017-01-01T00:00:00.000Z	2017-01-01T00:00:00.000Z	1	0	0	0	0	Lausanne	1005
Q133459708	CIPEF	Coopérative Immobilière du Personnel Fédéral		employees	https://www.cipef.ch/		CHE-103.914.078	9	169	1973-01-01T00:00:00.000Z	1996-01-01T00:00:00.000Z			0	0	0	0	0	Chavannes-près-Renens,Chavanes-pres-Renens,Préverenges,Ecublens	1022,1028,1024
Q133282403		Coopérative INTI			https://www.cooperative-inti.ch	2003-01-01T00:00:00Z	CHE-101.089.032	1	19	2005-03-01T00:00:00.000Z	2005-03-01T00:00:00.000Z			0	0	0	0	0	Confignon	1232
Q133282414		Coopérative La Ruche			https://gchg.ch/membre/la-ruche/	1957-01-01T00:00:00Z		1	86					0	0	0	0	0	Genève	1205
Q133282419		Coopérative la Valsainte			https://www.cooperativevalsainte.ch/		CHE-103.552.354	2	0			2008-01-01T00:00:00.000Z	2008-01-01T00:00:00.000Z	2	0	0	0	0	Vevey	1800
Q133460086		Coopérative Les Savoies			https://lessavoies.ch/		CHE-114.258.976	3	0					0	0	0	0	3	Salavaux	1585
Q133461608		Coopérative Polygones			https://www.polygones.ch/	2008-04-01T00:00:00Z	CHE-114.540.786	1	25	2017-01-01T00:00:00.000Z	2017-01-01T00:00:00.000Z			0	0	0	0	0	Meyrin	1217
Q133284332		Coopérative pour l'Habitation La Voie-Creuse					CHE-102.714.849	1	76	2000-05-01T00:00:00.000Z	2000-05-01T00:00:00.000Z			0	0	0	0	0	Genève	1202
Q133460512		Coopérative PrimaVesta		elderly people	https://primavesta.ch/	2009-01-01T00:00:00Z	CHE-101.286.294	9	269					0	0	0	0	9	L'Abbaye,Nyon,Ecublens (VD),Vevey,La Sarraz,Cossonay-Ville,Cheseaux-sur-Lausanne,Penthalaz,Aigle	1344,1260,1024,1800,1315,1304,1033,1305,1860
Q133460434		Coopérative Rue des Rois			https://gchg.ch/membre/cooperative-rue-des-rois/	1975-01-01T00:00:00Z	CHE-102.123.358	2	207					0	0	0	0	0	Genève,Chêne-Bourg	1204,1225
Q132672906		Coopérative Voisinage			https://www.cooperative-voisinage.ch/	2008-01-01T00:00:00Z	CHE-114.781.189	1	0					0	0	0	0	0	Meyrin	1217
Q133461688		Coprolo Bernex			https://coprolo.ch/cooperatives/coprolo-bernex		CHE-102.242.112	2	0	1973-07-01T00:00:00.000Z	1973-07-01T00:00:00.000Z			0	0	0	0	0	Bernex	1233
Q133461836		Coprolo Cressy			https://coprolo.ch/cooperatives/coprolo-cressy		CHE-109.864.415	2	48	2006-01-01T00:00:00.000Z	2006-01-01T00:00:00.000Z			0	0	0	0	0	Confignon	1232
Q133461743		Coprolo Croix-de-Rozon			https://coprolo.ch/cooperatives/coprolo-croix-de-rozon		CHE-102.223.600	1	10	1979-01-01T00:00:00.000Z	1979-01-01T00:00:00.000Z			0	0	0	0	0	La Croix-de-Rozon	1257
Q133461712		Coprolo Le Grand-Pré			https://coprolo.ch/cooperatives/coprolo-grand-pre		CHE-101.832.452	1	31	1979-01-01T00:00:00.000Z	1979-01-01T00:00:00.000Z			0	0	0	0	0	Onex	1213
Q133461702		Coprolo Luserna			https://coprolo.ch/cooperatives/coprolo-luserna		CHE-102.222.598	1	34	1976-01-01T00:00:00.000Z	1976-01-01T00:00:00.000Z	2022-01-01T00:00:00.000Z	2022-01-01T00:00:00.000Z	1	0	0	0	0	Genève	1203
Q133461799		Coprolo Poterie			https://coprolo.ch/cooperatives/coprolo-poterie		CHE-102.562.864	1	8	2000-07-01T00:00:00.000Z	2000-07-01T00:00:00.000Z			0	0	0	0	0	Genève	1202
Q133461761		Coprolo Poussy			https://coprolo.ch/cooperatives/coprolo-poussy		CHE-102.516.924	5	0	1994-01-01T00:00:00.000Z				0	0	0	0	0	Vernier	1214
Q133461864		Coprolo Soubeyran			https://coprolo.ch/cooperatives/coprolo-soubeyran		CHE-158.087.510	1	45	2019-05-01T00:00:00.000Z	2019-05-01T00:00:00.000Z			0	0	0	0	0	Genève	1203
Q133461877		Coprolo Troènes			https://coprolo.ch/cooperatives/coprolo-troenes		CHE-321.616.616	1	10	2023-01-01T00:00:00.000Z	2023-01-01T00:00:00.000Z			0	0	0	0	0	Petit-Lancy	1213
Q132179383		Ecopolis			https://ecopolis.ch/	2002-01-01T00:00:00Z	CHE-332.721.134	1	0	2023-01-01T00:00:00.000Z	2023-01-01T00:00:00.000Z			0	0	0	0	0	Lausanne	1018
Q133459738		Fomhab			https://gchg.ch/membre/fomhab/	1947-01-01T00:00:00Z	CHE-100.845.535	26	344					0	0	0	0	0	Bellevue,Genève,Confignon,Bernex,Carouge (GE),Perly,Thônex,Les Avanchets	1293,1201,1232,1233,1227,1258,1226,1205,1203,1220
Q133282940		Graphis			https://www.graphis.ch	1945-01-01T00:00:00Z	CHE-105.949.857	6	402	1948-01-01T00:00:00.000Z	1955-01-01T00:00:00.000Z			1	0	0	0	0	Genève,Fribourg	1202,1700
Q134130761		La Ciguë		student	https://cigue.ch	1986-01-01T00:00:00Z	CHE-107.411.008	8	50	1998-01-01T00:00:00.000Z				0	0	0	5	0	Genève,Meyrin	1201,1211,1204,1205,1217,1203
Q133282952	CDEF	La coopérative d'en face			https://www.cdef.ch/	2011-01-01T00:00:00Z	CHE-278.099.586	1	21					0	0	0	0	0	Neuchâtel	2000
Q134134531		Les Estudiantines		student	https://www.estudiantines.ch	2008-01-01T00:00:00Z		4	0					0	0	0	4	0	Saint-Sulpice	1025
Q133460016		Les Joyeux Logis			https://gchg.ch/membre/les-joyeux-logis/	1970-01-01T00:00:00Z	CHE-102.239.156	11	64					0	0	0	0	0	Les Avanchets,Bernex,Confignon,Carouge (GE),Versoix	1220,1233,1232,1227,1290
Q133460033		Les Rocailles			https://lesrocailles.ch/	1949-05-31T00:00:00Z	CHE-103.992.569	9	0					0	0	0	0	0	Peseux,Neuchâtel	2034,2000
Q131748305		Logement Idéal			https://www.logement-ideal.ch	1960-01-01T00:00:00Z	CHE-101.746.261	58	875					0	12	37	0	2	Lausanne,Pully,Echallens,Romanel-sur-Lausanne,Epalinges,Corsier-sur-Vevey,Crissier,Mézières VD,Granges-près-Marnand	1007,1006,1010,1018,1004,1009,1040,1032,1066,1804,1023,1083,1523
Q133460337		Mon Logis			https://www.monlogis.ch/	1948-01-01T00:00:00Z	CHE-106.400.373	26	0					0	0	0	0	0	Neuchâtel,Chez-le-Bart,Bevaix,Colombier,Les Hauts-Geneveys,Le Landeron	2000,2025,2022,2013,2208,2525
Q133463735		Société coopérative d'habitation Bellerive					CHE-103.998.135	10	146					0	0	0	0	0	Lausanne,Epalinges	1007,1006,1012,1066
Q132179778		Société Coopérative d’Habitation Charmontey	SCH Charmontey		https://www.charmontey.ch/	1947-05-30T00:00:00Z	CHE-103.978.954	13	141					0	2	0	0	0	Vevey	1800
Q132678496		Société coopérative d’habitation Cité des Philosophes					CHE-102.320.806	6	34					0	6	0	0	0	Morges	1110
Q133459619		Société Coopérative d’Habitation de Rolle			https://www.schrolle.ch	1964-01-01T00:00:00Z	CHE-106.621.388	11	143	1974-01-01T00:00:00.000Z	2019-12-01T00:00:00.000Z			4	0	0	0	0	Rolle,Mont-sur-Rolle	1180,1185
Q133284185	CHCG	Société Coopérative d’Habitation des Cheminots de Genève		railway worker	https://chcg-ge.ch/		CHE-106.000.393	3	439	1963-01-01T00:00:00.000Z	1975-01-01T00:00:00.000Z			2	0	0	0	0	Châtelaine,Genève,Grand-Lancy	1219,1203,1212
Q132179629	SCHG	Société Coopérative d’Habitation Genève			https://schg.ch/	1919-01-01T00:00:00Z	CHE-107.744.183	35	46					0	1	0	0	0	Genève,Le Grand-Saconnex	1203,1218,1209
Q132679940		Société coopérative d’habitation La Maison Ouvrière	La Maison Ouvrière		https://la-maison-ouvriere.ch/		CHE-102.044.397	27	726	1910-01-01T00:00:00.000Z				5	4	0	0	3	Lausanne,Morges,Ecublens,Penthalaz,Pully	1007,1018,1010,1110,1024,1305,1005,1009
Q132179751		Société coopérative d'habitation La Paix			http://lapaix.ch/		CHE-100.726.681	12	0					0	0	0	0	0	Nyon	1260
Q126741196	SCHL	Société coopérative d'habitation Lausanne			https://schl.ch/	1920-01-01T00:00:00Z	CHE-107.036.838	96	1729	1906-01-01T00:00:00.000Z	2023-08-01T00:00:00.000Z	1977-01-01T00:00:00.000Z		35	17	0	0	1	Ecublens (VD),Lausanne,Pully,Romanel-sur-Lausanne,Epalinges,Prilly,Chavannes-près-Renens,Le Mont-sur-Lausanne,Bussigny,Cheseaux-sur-Lausanne,Lausanne 25,Orbe	1024,1004,1007,1006,1010,1018,1009,1032,1066,1008,1022,1052,1030,1012,1033,1000,1350
Q133283915		Société coopérative d'habitation Le Trèfle à Quatre				2013-01-16T00:00:00Z	CHE-193.419.746	1	14					0	0	0	0	0	St-Aubin FR	1566
Q133459984		Société coopérative d'habitation Les Héliotropes			https://heliotropes.ch/		CHE-102.101.440	4	56					0	0	0	0	0	Cernier	2053
Q133456739	SCHaM	Société Coopérative d'Habitation Montreux			https://www.schamontreux.ch/	1932-01-01T00:00:00Z	CHE-114.789.110	9	226	1934-01-01T00:00:00.000Z	2019-01-01T00:00:00.000Z			8	0	0	0	0	Clarens,Montreux,Territet	1815,1820
Q132677586		Société Coopérative d'habitation Morges					CHE-100.382.860	8	0					0	8	0	0	0	Morges	1110
Q133460349		Société coopérative d'habitation Nouveau Comté			https://chnc.ch/	2014-05-24T00:00:00Z	CHE-106.400.373	1	12	2021-09-01T00:00:00.000Z	2021-09-01T00:00:00.000Z			0	0	0	0	0	Château-d'Oex	1660
Q132179712	SCHP	Société coopérative d'habitation Pully			https://schpully.ch	1988-01-01T00:00:00Z	CHE-101.923.445	2	61	1991-01-01T00:00:00.000Z	2004-01-01T00:00:00.000Z	2016-01-01T00:00:00.000Z		1	0	0	0	0	Pully	1009
Q133284313	SCHR	Société coopérative d'habitation Renens et agglomération			https://schrenens.ch/		CHE-103.323.546	29	255	1969-01-01T00:00:00.000Z				22	0	0	0	0	Renens	1020
Q133285952		Société coopérative d'habitation TerrAjoie			https://terrajoie.ch/		CHE-139.513.475	1	0			2026-01-01T00:00:00.000Z	2026-01-01T00:00:00.000Z	1	0	0	0	0	Charmoille	2947
Q133460488		Société coopérative d'habitation Unilogis			https://gchg.ch/membre/unilogis/		CHE-112.244.733	1	127	2023-01-01T00:00:00.000Z	2023-01-01T00:00:00.000Z			0	0	0	0	0	Genève	1209
Q133308087		Société Coopérative d'Habitations de l'Ouest MIXage	SCHO MIXage				CHE-114.780.965	1	0					0	0	0	0	0	Crissier	1023
Q131310187		Société coopérative d'habitations Le Chêne	SCH Le Chêne		https://schlechene.ch		CHE-100.072.537	14	238	1951-01-01T00:00:00.000Z	1976-01-01T00:00:00.000Z			0	0	0	0	0	Gland,Nyon,Rolle,Coppet	1196,1260,1180,1296
Q132179442		Société coopérative de construction et d’habitation Le Bled	SCCH Le Bled		https://lebled.ch	2015-01-01T00:00:00Z	CHE-232.069.729	1	77	2023-07-01T00:00:00.000Z	2023-07-01T00:00:00.000Z			0	0	0	0	0	Lausanne	1018
Q133461672		Société coopérative de construction et d'habitation UV			https://gchg.ch/membre/uv/	2005-01-01T00:00:00Z	CHE-112.667.080	1	20					0	0	0	0	0	Genève	1202
Q132781287		Société coopérative Jordils-Moulins					CHE-108.454.233	1	42	1998-01-01T00:00:00.000Z	1998-01-01T00:00:00.000Z			0	0	0	0	0	Yverdon-les-Bains	1400
Q133308011		Société coopérative jurassienne d’habitation			https://www.jumoup.ch/societe-cooperative-jurassienne-dhabitation/	2022-05-24T00:00:00Z	CHE-107.185.817	13	201					0	0	0	0	0	Bassecourt,Courtételle,Delémont,Boécourt,Courroux	2854,2852,2800,2856,2822
Q133461585		Société coopérative Le Noirmont				1994-04-14T00:00:00Z	CHE-103.767.251	1	12	1999-01-01T00:00:00.000Z	1999-01-01T00:00:00.000Z			0	0	0	0	0	Le Noirmont	2340
